"key","en","fr","ru"
"hello world","Hello world!","Bonjour le monde!","Здравствуй мир!"
"last score","Last score","Dernier score","Последний счёт"
"best score","Best score","Record","Рекорд"
"difficulty","Difficulty:","Difficulté :","Сложности:"
"easy","Easy","Facile","Лёгкий"
"medium","Medium","Moyen","Средний"
"hard","Hard","Difficile","Сложный"
"new best","New record!","Nouveau record!","Новый рекорд!"
"objectives","Objectives","Objectifs","цели"
"continue","Continue","Continuer","Продолжить"
"change obj","Change objectives","Changer d'objectifs","Сменить цель"
"back","Back","Retour","Назад"
"new colors","Buy new colors","Nouvelles couleurs","Новый цвет"
"paused","paused","en pause","на паузе"
"resume","resume","reprendre","продолжить"
"tuto move","Slide to move","Glissez pour bouger","Тяните чтобы двигаться"
"tuto btn","Press these buttons to change your color","Appuyez sur ces boutons pour changer de couleur","Нажмите на эти кнопки чтобы изменить цвет"
"tuto dont touch","Do not touch anything that is the same color as yours","Ne touchez pas ce qui est de la même couleur que vous","Не прикасайтесь к тому же цвету что и вы"
"use powerup","Press here to use the powerup","Appuyez ici pour utiliser le powerup","Нажмите здесь чтобы включить питание"
"slow motion","Slow motion","Ralenti","Медленней"
"slow motion desc","Slows down the time during 15 seconds, but does not slow down your movement.","Ralentit le temps pendant 15 secondes, mais sans ralentir votre mouvement.","Замедляет время на 15 секунд но не замедляет движение."
"invincibility","Invincibility","Invincibilité","Неуязвимость"
"invincibility desc","Makes you invincible during 10 seconds","Vous rend invincible pendant 10 secondes","Делает вас непобедимым на 10 секунд"
"hex multiplier","Hexagon multiplier","Multiplicateur d'hexagones","Множит шестиугольники"
"hex mult desc","Triple the number of hexagons collected in a game.","Triple le nombre d'hexagones collectés pendant 1 partie.","Утроит количество шестиугольников собранных в течение 1 игры"
"score multiplier","Score multiplier","Multiplicateur de score","Множитель счёта"
"score mult desc","Rise up your score by 30%. Taken into account by the interface during the game.","Augmente votre score de 30%. Pris en compte par l'interface pendant la partie.","Увеличивает ваш счёт на 30%. Учитывается интерфейсом во время игры."
"cancel","Cancel","Annuler","Отменить"
"settings","Settings","Paramètres","Настройки"
"reset","Reset the game","Réinitialiser le jeu","Перезагрузить игру"
"change vibr","Activate/deactivate the vibrator","Activer/désactiver le vibreur","Включить/выключить вибратор"
"move type","Displacement control:","Contrôle du déplacement :","Режим управления движением:",
"volume","Volume:","Volume :","3вук"
"confirm reset","Are you sure you want to reset everything? This will exit the game.","Etes-vous sur de vouloir tout réinitialiser? Cela fermera le jeu.","Вы уверены что хотите перезапустить все? Это закроет игру."
"yes","Yes","Oui","Да"
"no","No","Non","Нет"
"move dir slide","Finger slide direction (default)","Direction du glissement (par défaut)","Направление скольжения (по умолчанию)"
"move to finger","Move towards the finger","Vers le doigt","K пальцу"
"move from start","Relative to finger slide start","Par rapport au début du glissement","Относительно начала слайда"
"move joystick","Joystick","Joystick","Джойстик"
"score obj","Score at least {0} points, {1} mode","Marquer au moins {0} points, mode {1}","Наберите не менее {0} очков, режим {1}"
"no move obj","Do not move during {0}s, {1} mode","Ne bas bouger pendant {0}s, mode {1}","Не двигаться в течение {0} секунд, режим {1}"
"no color obj","Do not change color during {0}s, {1} mode","Ne pas changer de couleur pendant {0}s, mode {1}","Не менять цвет в течение {0} секунд, режим {1}"
"money obj","Collect {0} hexagons in one game, {1} mode","Collecter {0} hexagones en une partie, mode {1}","Соберите {0} шестиугольников в одной партии, режим {1}"
"language","Language:","Langue :","Язык"
"left","Left","Gauche","Лево"
"right","Right","Droite","Право"
"btm right","Bottom right","En bas à droite","В низу, с права"
"btm left","Bottom left","En bas à gauche","В низу, с лева"
"left space","Left, with space","Gauche, espacés","Лево, разделено "
"right space","Right, with space","Droite, espacés","Право, разделено"
"btns pos","Buttons position:","Position des boutons :","Позиция кнопок"
"rndm col title","Random colors","Couleurs aléatoires","Случайный цвет"
"rndm col desc","The colors will be chosen randomly for each game","Les couleurs seront choisies aléatoirement à chaque partie","Цвета будут выбраны случайным образом в каждой игре"
"unreadable save","Unreadable save","Sauvegarde illisible","Сохранение нечитаемо"
"unr save exp 1","The game was unable to read your save file!","Le jeu n'a pas réussi à lire votre fichier de sauvegarde!","Игра не смогла прочитать ваш файл "
"unr save exp 2","If you have not attempted to modify the save, please report this bug.","Si vous n'avez pas essayé de modifier la sauvegarde, veuillez reporter ce bug.","Если вы не пытались изменить сохранение, сообщите об этой ошибке"
"unr save exp 3","If you continue, the current save file will be definitely lost.","Si vous continuez, le fichier actuel sera définitivement perdu.","Если вы продолжите, текущий файл будет потерян навсегда"
"move dir slide comp","Cursor movement direction (default)","Direction du mouvement du curseur (par défaut)","Направление движения курсора (по умолчанию) "
"move to finger comp","Move towards cursor","Vers le curseur","К курсору"
"move from start comp","Relative to mouse slide start","Par rapport au début du glissement","Относительно начала слайда"
"move joystick comp","Joystick","Joystick","Джойстик"
"move arrows","Keyboard arrows","Flèches du clavier","Стрелки клавиатуры"
"move wasd","WASD keys","Touches WASD","Кнопки WASD"
"move zqsd","ZQSD keys","Touches ZQSD","Кнопки ZQSD"
